x,y
0,0
1,0
1,1
0,1
0,2
0,3
1,3
1,2
2,2
2,3
2,4
3,4
3,5
3,6
2,6
2,5
1,5
1,4
0,4
0,5
0,6
1,6
1,7
0,7
0,8
0,9
0,10
0,11
1,11
2,11
3,11
3,10
2,10
2,9
3,9
3,8
4,8
4,9
5,9
5,8
6,8
6,7
6,6
7,6
7,7
7,8
7,9
6,9
6,10
6,11
7,11
7,10
8,10
8,11
9,11
10,11
11,11
11,10
10,10
9,10
9,9
8,9
8,8
8,7
8,6
9,6
9,7
9,8
10,8
10,9
11,9
11,8
11,7
10,7
10,6
11,6
11,5
10,5
9,5
8,5
8,4
8,3
7,3
7,4
7,5
6,5
6,4
5,4
5,5
5,6
5,7
4,7
4,6
4,5
4,4
4,3
5,3
6,3
6,2
7,2
7,1
8,1
8,2
9,2
9,1
10,1
10,2
10,3
11,3
11,2
11,1
11,0
10,0
9,0
8,0
7,0
6,0
5,0
5,1
4,1
3,1